barcode,product_name,categorie,sub_categorie,product_image,weight,production_date,brand,production_place,product_state,more_detail,keep_place,big_price,buy_price,sell_price,big_category,sale_unit,big_quantity,created_at,updated_at
8.81E+12,جینسینگ,نوشیدنی ها,نوشیدنی های انرژی زا,uploads/app_images/01JXSE4JSABY92KZGXVCXEHA4W.jpg,250 ml,NULL,جینسینگ,آلمان,عالی,ربی,NULL,1515,1200,1140,بسته,دانه,24,6/15/2025 9:18,6/15/2025 9:18
8.70E+12,???? ?????,??????? ?? ,????,uploads/app_images/01JXSE4JSABY92KZGXVCXEHA4W.jpg,200 Ml,NULL,?????? ,?????????,???? ,??????????,NULL,200,180,250,????,????,48,6/15/2025 9:18,6/15/2025 9:18
